"abb","name","area"
"AL","Alabama",51609
"AK","Alaska",589757
"AZ","Arizona",113909
"AR","Arkansas",53104
"CA","California",158693
"CO","Colorado",104247
"CT","Connecticut",5009
"DE","Delaware",2057
"FL","Florida",58560
"GA","Georgia",58876
"HI","Hawaii",6450
"ID","Idaho",83557
"IL","Illinois",56400
"IN","Indiana",36291
"IA","Iowa",56290
"KS","Kansas",82264
"KY","Kentucky",40395
"LA","Louisiana",48523
"ME","Maine",33215
"MD","Maryland",10577
"MA","Massachusetts",8257
"MI","Michigan",58216
"MN","Minnesota",84068
"MS","Mississippi",47716
"MO","Missouri",69686
"MT","Montana",147138
"NE","Nebraska",77227
"NV","Nevada",110540
"NH","New Hampshire",9304
"NJ","New Jersey",7836
"NM","New Mexico",121666
"NY","New York",49576
"NC","North Carolina",52586
"ND","North Dakota",70665
"OH","Ohio",41222
"OK","Oklahoma",69919
"OR","Oregon",96981
"PA","Pennsylvania",45333
"RI","Rhode Island",1214
"SC","South Carolina",31055
"SD","South Dakota",77047
"TN","Tennessee",42244
"TX","Texas",267339
"UT","Utah",84916
"VT","Vermont",9609
"VA","Virginia",40815
"WA","Washington",68192
"WV","West Virginia",24181
"WI","Wisconsin",56154
"WY","Wyoming",97914
